cutoff,train_end,n_train,n_test,mae,rmse,smape
1973-12-01,1973-11-01,36,12,0.16666666666666666,0.408248290463863,33.33333333333333
1974-06-01,1974-05-01,42,12,0.16666666666666666,0.408248290463863,33.33333333333333
1974-12-01,1974-11-01,48,12,0.08333333333333333,0.28867513459481287,16.666666666666664
1975-06-01,1975-05-01,54,12,0.08333333333333333,0.28867513459481287,16.666666666666664
1975-12-01,1975-11-01,60,12,0.08333333333333333,0.28867513459481287,16.666666666666664
1976-06-01,1976-05-01,66,12,0.0,0.0,0.0
1976-12-01,1976-11-01,72,12,0.0,0.0,0.0
1977-06-01,1977-05-01,78,12,0.16666666666666666,0.408248290463863,33.33333333333333
1977-12-01,1977-11-01,84,12,0.16666666666666666,0.408248290463863,33.33333333333333
1978-06-01,1978-05-01,90,12,0.3333333333333333,0.5773502691896257,66.66666666666666
1978-12-01,1978-11-01,96,12,0.3333333333333333,0.5773502691896257,66.66666666666666
1979-06-01,1979-05-01,102,12,0.16666666666666666,0.408248290463863,33.33333333333333
1979-12-01,1979-11-01,108,12,0.3333333333333333,0.5773502691896257,66.66666666666666
1980-06-01,1980-05-01,114,12,0.5833333333333334,1.5,87.5
1980-12-01,1980-11-01,120,12,0.6666666666666666,1.5811388300841898,94.11764705882352
1981-06-01,1981-05-01,126,12,0.6666666666666666,1.5811388300841898,61.53846153846154
1981-12-01,1981-11-01,132,12,0.6666666666666666,1.5811388300841898,50.0
1982-06-01,1982-05-01,138,12,0.4166666666666667,0.8660254037844386,61.53846153846154
1982-12-01,1982-11-01,144,12,0.16666666666666666,0.5773502691896257,30.76923076923077
1983-06-01,1983-05-01,150,12,0.25,0.6454972243679028,33.33333333333333
1983-12-01,1983-11-01,156,12,0.75,1.848422751068236,94.11764705882352
1984-06-01,1984-05-01,162,12,1.25,2.3979157616563596,130.43478260869566
1984-12-01,1984-11-01,168,12,1.1666666666666667,2.1984843263788196,107.93650793650794
1985-06-01,1985-05-01,174,12,1.1666666666666667,2.0,82.78388278388279
1985-12-01,1985-11-01,180,12,0.75,1.3844373104863459,71.79487179487178
1986-06-01,1986-05-01,186,12,0.5,0.816496580927726,83.33333333333334
1986-12-01,1986-11-01,192,12,0.75,0.9574271077563381,133.33333333333331
1987-06-01,1987-05-01,198,12,0.9166666666666666,1.5545631755148024,115.55555555555557
1987-12-01,1987-11-01,204,12,0.75,1.5,93.33333333333333
1988-06-01,1988-05-01,210,12,0.75,1.3228756555322954,80.0
1988-12-01,1988-11-01,216,12,2.4166666666666665,3.122498999199199,163.8709677419355
1989-06-01,1989-05-01,222,12,3.3333333333333335,4.672615256292062,166.87074829931973
1989-12-01,1989-11-01,228,12,3.3333333333333335,4.708148963941845,153.66300366300365
1990-06-01,1990-05-01,234,12,3.1666666666666665,4.58257569495584,143.95604395604394
1990-12-01,1990-11-01,240,12,1.9166666666666667,3.7080992435478315,125.29761904761905
1991-06-01,1991-05-01,246,12,0.8333333333333334,1.224744871391589,101.96078431372548
1991-12-01,1991-11-01,252,12,1.1666666666666667,1.5275252316519468,118.5185185185185
1992-06-01,1992-05-01,258,12,1.5,1.7320508075688772,175.0
1992-12-01,1992-11-01,264,12,1.4166666666666667,1.6072751268321592,183.33333333333331
1993-06-01,1993-05-01,270,12,1.3333333333333333,1.9578900207451218,150.0
1993-12-01,1993-11-01,276,12,1.25,1.9790570145063195,150.0
