cutoff,train_end,n_train,n_test,mae,rmse,smape
1973-02-01,1973-01-01,36,12,4.666666666666667,5.5377492419453835,112.3067447457691
1973-08-01,1973-07-01,42,12,5.833333333333333,6.582805886043833,113.64976293547724
1974-02-01,1974-01-01,48,12,6.916666666666667,7.804912982645397,112.4973544973545
1974-08-01,1974-07-01,54,12,5.666666666666667,7.14142842854285,91.11276025561739
1975-02-01,1975-01-01,60,12,5.25,7.466592261534039,97.15193408741796
1975-08-01,1975-07-01,66,12,4.333333333333333,6.48074069840786,75.56851806655422
1976-02-01,1976-01-01,72,12,4.0,5.259911279353167,73.74786723983931
1976-08-01,1976-07-01,78,12,4.333333333333333,5.6421036266035856,72.73021975510662
1977-02-01,1977-01-01,84,12,6.666666666666667,8.534244742994739,80.86906633268921
1977-08-01,1977-07-01,90,12,9.833333333333334,11.775681155103795,103.62725999578957
1978-02-01,1978-01-01,96,12,8.583333333333334,11.856784274554942,79.3346483917832
1978-08-01,1978-07-01,102,12,6.166666666666667,8.822320178577364,44.01592084766688
1979-02-01,1979-01-01,108,12,5.916666666666667,6.264982043070834,32.756431898749376
1979-08-01,1979-07-01,114,12,10.25,13.524668819112232,53.48039546058189
1980-02-01,1980-01-01,120,12,11.166666666666666,14.860462083439174,53.87517866235244
1980-08-01,1980-07-01,126,12,13.25,18.450383916511512,48.67897183813674
1981-02-01,1981-01-01,132,12,11.833333333333334,17.62573875520305,36.623047177276405
1981-08-01,1981-07-01,138,12,16.25,24.438698819699873,52.43928323132433
1982-02-01,1982-01-01,144,12,29.166666666666668,37.773447464235154,71.52866454574671
1982-08-01,1982-07-01,150,12,34.083333333333336,44.029346274199135,69.63413574834752
1983-02-01,1983-01-01,156,12,34.75,42.046601130967375,59.515785075683105
1983-08-01,1983-07-01,162,12,48.25,58.069642097513686,63.2239305144624
1984-02-01,1984-01-01,168,12,46.833333333333336,61.57921727336261,56.406030595800985
1984-08-01,1984-07-01,174,12,36.5,48.14388157734411,38.4874031807857
1985-02-01,1985-01-01,180,12,37.5,46.27994526069941,33.531567614214104
1985-08-01,1985-07-01,186,12,29.5,37.58545818087983,27.877981965628273
1986-02-01,1986-01-01,192,12,22.75,29.400963703026243,24.482634940665722
1986-08-01,1986-07-01,198,12,24.333333333333332,32.142910052866505,23.918188539390254
1987-02-01,1987-01-01,204,12,32.25,37.8714932369982,33.805745527121935
1987-08-01,1987-07-01,210,12,27.333333333333332,33.60059523282288,31.121815913698946
1988-02-01,1988-01-01,216,12,31.166666666666668,40.68783602011786,31.41467335337817
