region,n_test_rows,mae,rmse,smape,corr
Western Europe,36,2.944455504663659,3.903978023388671,12.25258022417691,0.9393465489887033
Middle East & North Africa,36,69.0404719669822,83.3897528246072,14.627456380156737,0.6116544122119028
South Asia,36,55.698227594779986,62.57408904915793,15.761266695426922,0.8093212172557547
North America,36,1.0238282374280898,1.3658008296801132,16.750123092563506,0.9282911082634463
Southeast Asia,36,22.124390466022263,25.6958603217602,29.387025161488733,0.7537766318120583
South America,36,5.347381844875522,6.117251043894819,29.981853848600316,0.8259716071490643
Central America & Caribbean,36,0.0299741700389754,0.050443090986613086,40.71526679965847,0.9952626755197449
Central Asia,36,0.14061921668904234,0.20373845371151625,40.87452621242195,0.9855620458158996
Sub-Saharan Africa,36,56.45357018337946,58.84967915890205,41.528873612908505,0.6613255868043619
East Asia,36,0.24621816274389963,0.3674336133930471,44.8862461923058,0.9761915168038136
Eastern Europe,36,14.644535762647946,24.230951231084976,58.65949592006172,0.6081796908555532
Australasia & Oceania,36,0.2793526624128328,0.6785286758815793,58.70673168094923,0.945204265638833
