region,mae,rmse,smape
Western Europe,2.944455504663659,3.903978023388671,12.25258022417691
Middle East & North Africa,69.0404719669822,83.3897528246072,14.627456380156737
South Asia,55.698227594779986,62.57408904915793,15.761266695426922
North America,1.0238282374280898,1.3658008296801132,16.750123092563506
Southeast Asia,22.124390466022263,25.6958603217602,29.387025161488733
South America,5.347381844875522,6.117251043894819,29.981853848600316
Central America & Caribbean,0.0299741700389754,0.050443090986613086,40.71526679965847
Central Asia,0.14061921668904234,0.20373845371151625,40.87452621242195
Sub-Saharan Africa,56.45357018337946,58.84967915890205,41.528873612908505
East Asia,0.24621816274389963,0.3674336133930471,44.8862461923058
Eastern Europe,14.644535762647946,24.230951231084976,58.65949592006172
Australasia & Oceania,0.2793526624128328,0.6785286758815793,58.70673168094923
